document_char_count,document_sentence_count,document_sentence_density,document_stopword_count,document_word_count,summary_char_count,summary_sentence_count,summary_sentence_density,summary_stopword_count,summary_word_count
13474,125,0.04399859204505456,1438,2841,185,3,0.08823529411764706,16,34
13757,191,0.06264348966874385,1639,3049,202,3,0.06976744186046512,19,43
7698,82,0.05102675793403858,796,1607,206,4,0.0975609756097561,16,41
4054,44,0.049493813273340834,503,889,404,5,0.056818181818181816,39,88
1796,20,0.0477326968973747,244,419,131,2,0.08,9,25
6046,41,0.03751143641354071,503,1093,469,6,0.07228915662650602,34,83
6077,68,0.051829268292682924,704,1312,403,5,0.06578947368421052,32,76
10515,94,0.04353867531264474,1195,2159,380,3,0.04054054054054054,26,74
10063,105,0.047212230215827336,1175,2224,199,3,0.07894736842105263,18,38
12775,177,0.06636670416197975,1332,2667,235,3,0.06818181818181818,16,44
8421,103,0.05671806167400881,1011,1816,306,4,0.07692307692307693,17,52
3327,38,0.06050955414012739,303,628,383,5,0.06493506493506493,36,77
8500,51,0.027522935779816515,1011,1853,256,4,0.07142857142857142,29,56
9829,60,0.027945971122496506,1210,2147,264,3,0.05454545454545454,25,55
4671,35,0.03863134657836645,419,906,493,5,0.05555555555555555,35,90
2620,37,0.06303236797274275,318,587,273,3,0.0625,18,48
8333,66,0.03705783267827063,922,1781,407,3,0.03529411764705882,40,85
10471,121,0.05199828104856038,1243,2327,320,5,0.0684931506849315,35,73
9513,105,0.04829806807727691,1299,2174,332,5,0.06944444444444445,33,72
16764,207,0.056696795398520954,1992,3651,350,6,0.08108108108108109,37,74
8120,97,0.05312157721796276,1017,1826,276,4,0.07407407407407407,25,54
16191,170,0.047806524184476944,1855,3556,120,2,0.08695652173913043,8,23
6968,75,0.048575129533678756,852,1544,241,2,0.046511627906976744,16,43
10174,219,0.0894973436861463,1377,2447,314,3,0.046875,29,64
5936,135,0.10180995475113122,689,1326,290,5,0.09433962264150944,24,53
9455,97,0.045242537313432835,1264,2144,372,4,0.05405405405405406,31,74
10782,137,0.05948762483716891,1234,2303,366,4,0.0547945205479452,30,73
11474,200,0.07716049382716049,1477,2592,241,3,0.0625,22,48
7813,57,0.035580524344569285,851,1602,266,3,0.06,21,50
12120,164,0.06454151908697363,1351,2541,355,4,0.0625,29,64
23956,205,0.039605873261205564,2867,5176,391,5,0.06493506493506493,32,77
14081,138,0.04773434797647873,1516,2891,392,5,0.06172839506172839,40,81
3612,42,0.053367217280813214,425,787,375,5,0.0641025641025641,36,78
14005,108,0.03682236617797477,1548,2933,241,2,0.0425531914893617,16,47
5155,67,0.056160938809723386,671,1193,380,5,0.06329113924050633,35,79
7378,122,0.07122008172796264,908,1713,258,3,0.05660377358490566,23,53
12461,106,0.03468586387434555,1579,3056,378,4,0.05128205128205128,40,78
10823,89,0.041549953314659195,1097,2142,339,3,0.04918032786885246,25,61
3099,27,0.03857142857142857,380,700,370,7,0.1,26,70
7856,90,0.05491153142159853,788,1639,362,3,0.046875,29,64
11053,135,0.05754475703324808,1186,2346,545,6,0.05555555555555555,48,108
15955,222,0.05877680698967434,2147,3777,372,5,0.06493506493506493,33,77
3735,47,0.05433526011560694,461,865,233,5,0.10869565217391304,19,46
8432,103,0.056345733041575495,938,1828,344,5,0.06944444444444445,34,72
7389,95,0.06436314363143632,751,1476,223,3,0.07692307692307693,14,39
